open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1777881600000,2361.79,2364.20,2356.50,2359.05,118524.599,1777885199999,279706245.34229,135762,65971.550,155684860.54611,0
1777885200000,2359.05,2369.82,2357.00,2367.43,89544.928,1777888799999,211709448.81604,124178,51280.607,121251128.03294,0
1777888800000,2367.43,2368.99,2313.05,2337.17,932864.217,1777892399999,2175968110.91157,828945,450066.032,1049502843.54538,0
1777892400000,2337.16,2342.55,2331.20,2336.20,129105.086,1777895999999,301671502.36257,200401,63661.847,148750209.40770,0
1777896000000,2336.20,2342.80,2331.99,2334.15,87654.642,1777899599999,204916437.49409,146253,39462.920,92262216.65628,0
1777899600000,2334.16,2343.71,2324.20,2335.49,198099.647,1777903199999,462499447.83270,298409,97789.570,228334023.48793,0
1777903200000,2335.48,2382.00,2326.05,2370.10,523610.915,1777906799999,1233826043.19886,559159,266686.744,628396614.90374,0
1777906800000,2370.11,2373.07,2334.42,2348.62,541063.058,1777910399999,1273322992.10715,641201,249276.836,586547422.66340,0
1777910400000,2348.63,2364.10,2334.99,2354.02,321072.736,1777913999999,754910902.15445,425816,136939.570,322018438.20996,0
1777914000000,2354.01,2378.85,2352.66,2368.91,258286.095,1777917599999,611173430.68705,322028,124031.280,293576496.99646,0
1777917600000,2368.91,2374.15,2355.66,2360.26,222898.378,1777921199999,527192146.91664,210431,112706.455,266700739.60416,0
1777921200000,2360.26,2363.26,2352.49,2355.36,94392.884,1777924799999,222439737.16234,148606,50810.611,119739524.45659,0
1777924800000,2355.36,2358.52,2346.24,2348.73,59220.670,1777928399999,139236523.83563,94714,30272.194,71184642.82020,0
1777928400000,2348.74,2363.69,2348.57,2359.44,47724.497,1777931999999,112532531.44796,73790,25989.779,61281864.03911,0
1777932000000,2359.43,2364.97,2352.68,2353.34,60703.964,1777935599999,143188438.77841,95878,33633.605,79332476.59858,0
1777935600000,2353.33,2353.34,2343.61,2346.11,65477.433,1777939199999,153734398.28282,95895,33299.317,78179373.92500,0
1777939200000,2346.12,2358.00,2344.00,2357.64,65567.123,1777942799999,154193787.28855,106218,32209.803,75747417.38369,0
1777942800000,2357.64,2363.38,2353.75,2360.68,59185.844,1777946399999,139619992.45199,98049,26925.702,63529516.18710,0
1777946400000,2360.68,2376.62,2357.77,2366.59,170506.898,1777949999999,403836435.05773,200446,88494.130,209601458.05557,0
1777950000000,2366.59,2388.42,2363.34,2380.96,176481.763,1777953599999,419846683.98687,209862,96111.234,228649950.93435,0
1777953600000,2380.96,2384.50,2374.07,2379.75,105866.145,1777957199999,251926906.00333,130257,45372.409,107980247.67173,0
1777957200000,2379.75,2389.97,2375.93,2378.94,141260.774,1777960799999,336503320.36188,173027,74124.203,176600436.45028,0
